epoch,accuracy_score,balanced_accuracy,roc_score,precision,recall,loss
0,0.334841628959276,0.51,0.51,0.7833658516335256,0.334841628959276,0.8427995
1,0.4253393665158371,0.5729577464788732,0.5729577464788733,0.766321913380737,0.4253393665158371,0.62102014
2,0.3212669683257919,0.5,0.5,0.10321246493724535,0.3212669683257919,0.5165374
3,0.3393665158371041,0.5133333333333333,0.5133333333333333,0.7838480305273474,0.3393665158371041,0.4660073
4,0.3257918552036199,0.5033333333333333,0.5033333333333334,0.78241464417935,0.3257918552036199,0.45370486
5,0.9049773755656109,0.9077464788732394,0.9077464788732396,0.9108801867719265,0.9049773755656109,0.4333196
6,0.4072398190045249,0.5633333333333334,0.5633333333333334,0.7916535997491152,0.4072398190045249,0.39890397
7,0.8461538461538461,0.8755399061032864,0.8755399061032865,0.8827110958258498,0.8461538461538461,0.38371402
8,0.8868778280542986,0.9018309859154929,0.9018309859154929,0.9029209954132554,0.8868778280542986,0.3975009
9,0.9049773755656109,0.8817840375586854,0.8817840375586854,0.9041325530889098,0.9049773755656109,0.3861654
10,0.8778280542986425,0.8914553990610329,0.8914553990610329,0.8941669785323035,0.8778280542986425,0.37567678
11,0.9095022624434389,0.8999530516431924,0.8999530516431924,0.9103156029022265,0.9095022624434389,0.36512598
12,0.8733031674208145,0.8732863849765258,0.8732863849765258,0.8810082437533417,0.8733031674208145,0.3624442
13,0.9095022624434389,0.8925352112676056,0.8925352112676055,0.9089767750085425,0.9095022624434389,0.33040366
14,0.8868778280542986,0.8721596244131455,0.8721596244131455,0.8873304010986601,0.8868778280542986,0.32814768
15,0.6199095022624435,0.7014553990610328,0.7014553990610328,0.7803114041931165,0.6199095022624435,0.3392011
