aid,teacher_accuracy,teacher_balanced_accuracy,teacher_roc,teacher_precision,teacher_recall,student_accuracy,student_balanced_accuracy,student_roc,student_precision,student_recall,mol_total,mol_active,mol_inactive
34,884.0,0.8796248045857217,0.8546379693672901,0.8546379693672901,0.8785580683191997,0.8796248045857217,0.877019280875456,0.8519217416759204,0.8519217416759203,0.8758691787366919,0.877019280875456,9593,3274,6319
39,891.0,0.8920911528150134,0.7631262370663601,0.7631262370663601,0.8862685975535717,0.8920911528150134,0.8941018766756033,0.7602017233001079,0.7602017233001079,0.8892139542792247,0.8941018766756033,7457,1483,5974
45,899.0,0.8632862644415917,0.7373585038731443,0.7373585038731443,0.8590362481383053,0.8632862644415917,0.8600770218228498,0.7272718723919458,0.7272718723919457,0.8564037801248764,0.8600770218228498,7786,1782,6004
54,914.0,0.9809264305177112,0.7212366580787634,0.7212366580787634,0.9782835611544276,0.9809264305177112,0.9816076294277928,0.7215863084284136,0.7215863084284138,0.9790905651235178,0.9816076294277928,7340,216,7124
131,1418.0,0.7747747747747747,0.772690305790501,0.772690305790501,0.7754805496740981,0.7747747747747747,0.7567567567567568,0.7513825634352636,0.7513825634352636,0.7670967134381768,0.7567567567567568,1109,489,620
135,1431.0,0.9508196721311476,0.7083040935672514,0.7083040935672514,0.9481843196527536,0.9508196721311476,0.9508196721311476,0.7083040935672514,0.7083040935672514,0.9481843196527536,0.9508196721311476,1217,104,1113
208,1770.0,0.8716814159292036,0.8221887550200804,0.8221887550200804,0.8690538359844368,0.8716814159292036,0.8849557522123894,0.8312248995983935,0.8312248995983936,0.8822875832335704,0.8849557522123894,1126,332,794
209,1771.0,0.9049773755656108,0.8828765846383295,0.8828765846383295,0.9041858054149536,0.9049773755656108,0.8823529411764706,0.8517431021625652,0.8517431021625652,0.8811820906706632,0.8823529411764706,1103,356,747
210,1795.0,0.9148936170212766,0.7967857142857142,0.7967857142857143,0.910341978360128,0.9148936170212766,0.9148936170212766,0.7849999999999999,0.785,0.9096199308965268,0.9148936170212766,1173,178,995
571,493073.0,0.8149779735682819,0.7869047619047619,0.786904761904762,0.815175248940838,0.8149779735682819,0.8061674008810573,0.7710591133004926,0.7710591133004926,0.8095083901251302,0.8061674008810573,1133,721,412
579,493102.0,0.8149779735682819,0.7869047619047619,0.786904761904762,0.815175248940838,0.8149779735682819,0.8061674008810573,0.7710591133004926,0.7710591133004926,0.8095083901251302,0.8061674008810573,1133,721,412
605,493177.0,0.8149779735682819,0.7869047619047619,0.786904761904762,0.815175248940838,0.8149779735682819,0.8061674008810573,0.7710591133004926,0.7710591133004926,0.8095083901251302,0.8061674008810573,1133,721,412
609,493191.0,0.8376068376068376,0.7201903062741599,0.7201903062741599,0.8293987075712964,0.8376068376068376,0.8504273504273504,0.7346119536128457,0.7346119536128457,0.8456682206682207,0.8504273504273504,1170,290,880
624,493240.0,0.8760683760683761,0.7102564102564103,0.7102564102564104,0.8645833333333334,0.8760683760683761,0.8846153846153846,0.6846153846153846,0.6846153846153846,0.8796296296296295,0.8846153846153846,1169,217,952
870,588834.0,0.9449838187702264,0.7481949458483754,0.7481949458483754,0.9447882358156722,0.9449838187702264,0.9368932038834952,0.7091324458483754,0.7091324458483754,0.9365450625602852,0.9368932038834952,3087,287,2800
1119,651741.0,0.8134328358208955,0.7663020739943817,0.7663020739943815,0.8217494616469889,0.8134328358208955,0.8022388059701493,0.7469667085051701,0.7469667085051701,0.8174440298507463,0.8022388059701493,1336,438,898
1143,651812.0,0.8224852071005917,0.7726769911504425,0.7726769911504424,0.8198902635825711,0.8224852071005917,0.8136094674556213,0.7435208596713021,0.7435208596713022,0.8184405504453711,0.8136094674556213,1690,605,1085
1145,651814.0,0.7672413793103449,0.7664065403195839,0.7664065403195839,0.7768510441924548,0.7672413793103449,0.7586206896551724,0.757487922705314,0.757487922705314,0.7766692884050171,0.7586206896551724,1158,547,611
