epoch,accuracy_score,balanced_accuracy,roc_score,precision,recall,loss
0,0.7796610169491526,0.6974234777977836,0.6974234777977836,0.7754184985160899,0.7796610169491526,0.6714049
1,0.7609277430865299,0.7402323772812957,0.7402323772812958,0.7930001528902886,0.7609277430865299,0.4856848
2,0.7859054415700267,0.709834825315514,0.7098348253155141,0.7834472606605204,0.7859054415700267,0.4340974
3,0.7082961641391614,0.7356761257491611,0.735676125749161,0.7925998012509728,0.7082961641391614,0.39924014
4,0.7796610169491526,0.7468617655263359,0.7468617655263359,0.7995803035835114,0.7796610169491526,0.37821376
5,0.6797502230151651,0.7189600081150305,0.7189600081150306,0.7840217492982459,0.6797502230151651,0.35638174
6,0.6922390722569135,0.7343658864402911,0.7343658864402911,0.795081512791192,0.6922390722569135,0.3469022
7,0.768064228367529,0.7508854681780911,0.750885468178091,0.8004415513511832,0.768064228367529,0.33490995
8,0.7787689562890276,0.7227237761942198,0.7227237761942197,0.7865002101794407,0.7787689562890276,0.3350185
9,0.7805530776092774,0.7627600402370265,0.7627600402370265,0.8091783462216235,0.7805530776092774,0.32366487
10,0.7778768956289027,0.7633264017447317,0.7633264017447314,0.8092585322403328,0.7778768956289027,0.31413618
11,0.7876895628902766,0.7133809246062942,0.7133809246062942,0.7857306718197937,0.7876895628902766,0.3074607
12,0.7528991971454059,0.7737132182013373,0.7737132182013372,0.8171649804120812,0.7528991971454059,0.30965596
13,0.7555753791257805,0.7472506107405811,0.7472506107405811,0.7973777158918419,0.7555753791257805,0.30672312
14,0.6851025869759143,0.7437235310526715,0.7437235310526717,0.806432624919927,0.6851025869759143,0.30412757
15,0.6663693131132917,0.7394483469851816,0.7394483469851816,0.8093982826841012,0.6663693131132917,0.2979752
16,0.7725245316681534,0.750333899694841,0.750333899694841,0.8005460501269163,0.7725245316681534,0.29709673
17,0.7323818019625334,0.7564751181328667,0.7564751181328668,0.8059957060130937,0.7323818019625334,0.28747043
18,0.7743086529884032,0.7621197136070466,0.7621197136070466,0.8081891707495075,0.7743086529884032,0.2878907
19,0.768064228367529,0.7638335911546167,0.7638335911546168,0.8090433827365955,0.768064228367529,0.28250393
20,0.7314897413024085,0.7558791705762518,0.7558791705762518,0.805642045019435,0.7314897413024085,0.28241953
21,0.7975022301516503,0.7234676539953846,0.7234676539953846,0.7945227316663879,0.7975022301516503,0.27450645
22,0.8037466547725245,0.6958575304947633,0.6958575304947633,0.7912073269528962,0.8037466547725245,0.2787904
23,0.7903657448706513,0.7598986466495913,0.7598986466495912,0.8090631042059562,0.7903657448706513,0.27408114
24,0.7386262265834077,0.7606467510291719,0.7606467510291719,0.8084937808422428,0.7386262265834077,0.277476
25,0.7430865298840321,0.7565638762795965,0.7565638762795965,0.8046971853128678,0.7430865298840321,0.27602252
26,0.800178412132025,0.711130271599929,0.7111302715999289,0.7919716452884198,0.800178412132025,0.26850972
27,0.8037466547725245,0.7170453680927142,0.7170453680927141,0.7960904358114106,0.8037466547725245,0.26357442
28,0.7992863514719001,0.7081801198657638,0.7081801198657638,0.7905089160404599,0.7992863514719001,0.26602808
29,0.7912578055307761,0.7569632879398811,0.7569632879398811,0.8076455585060976,0.7912578055307761,0.26510093
30,0.808206958073149,0.7058998808104886,0.7058998808104887,0.7969372767186457,0.808206958073149,0.26220083
31,0.7823371989295272,0.752180914462506,0.752180914462506,0.8031241883107468,0.7823371989295272,0.2623534
32,0.7975022301516503,0.7587807166586362,0.7587807166586362,0.8101967167533626,0.7975022301516503,0.2556128
33,0.7992863514719001,0.7493786929728907,0.7493786929728908,0.8061711300773253,0.7992863514719001,0.25860554
34,0.784121320249777,0.7604354221083864,0.7604354221083864,0.8082449251472997,0.784121320249777,0.25400087
35,0.7912578055307761,0.7581403900286563,0.7581403900286562,0.8082859724320047,0.7912578055307761,0.25568026
36,0.8055307760927743,0.713528854850844,0.713528854850844,0.7963973209762573,0.8055307760927743,0.2524356
37,0.8090990187332738,0.713558440899754,0.7135584408997541,0.7991719055623226,0.8090990187332738,0.25082618
38,0.784121320249777,0.7616125241971614,0.7616125241971615,0.8089462261348327,0.784121320249777,0.256808
39,0.7903657448706513,0.7622528508271413,0.7622528508271414,0.8103859763984653,0.7903657448706513,0.24683453
40,0.7903657448706513,0.7669612591822417,0.7669612591822417,0.8130924802812749,0.7903657448706513,0.24393861
41,0.8010704727921498,0.7493934859973457,0.7493934859973458,0.8068303143488716,0.8010704727921498,0.24675135
42,0.8037466547725245,0.7429416140457654,0.7429416140457654,0.8051591957032589,0.8037466547725245,0.24417028
43,0.7939339875111507,0.7505114159883008,0.7505114159883008,0.8049796659355793,0.7939339875111507,0.24215126
44,0.7814451382694023,0.7610017836160914,0.7610017836160914,0.8082056946677425,0.7814451382694023,0.24357499
45,0.8153434433541481,0.7506889322817606,0.7506889322817607,0.8138625229653377,0.8153434433541481,0.24237882
46,0.8117752007136485,0.7494822441440756,0.7494822441440756,0.8115544379980049,0.8117752007136485,0.2402341
47,0.800178412132025,0.7511517426182808,0.7511517426182809,0.8073123710728228,0.800178412132025,0.2398424
48,0.8162355040142729,0.7524619819271507,0.7524619819271506,0.8149676625141973,0.8162355040142729,0.24142633
49,0.8144513826940232,0.7394990659261701,0.7394990659261701,0.8096947515010449,0.8144513826940232,0.23370862
50,0.8064228367528992,0.7047079856972587,0.7047079856972586,0.7951590520765012,0.8064228367528992,0.23868164
51,0.792149866190901,0.7634447459403715,0.7634447459403715,0.811412304842941,0.792149866190901,0.24175674
52,0.808206958073149,0.7141395954319141,0.7141395954319141,0.7985862252606977,0.808206958073149,0.23167382
53,0.8010704727921498,0.756456098529996,0.756456098529996,0.8101256578119598,0.8010704727921498,0.22866349
54,0.8010704727921498,0.755278996441221,0.7552789964412209,0.8095628417892526,0.8010704727921498,0.23160134
55,0.7769848349687779,0.7544907395666912,0.7544907395666912,0.8036535804834289,0.7769848349687779,0.24092215
56,0.7894736842105263,0.753417188649101,0.7534171886491011,0.8053100512963699,0.7894736842105263,0.23119242
57,0.8019625334522748,0.7182076771570343,0.7182076771570343,0.7952773427858306,0.8019625334522748,0.22705683
58,0.7930419268510259,0.7616864893194364,0.7616864893194363,0.8106259493880597,0.7930419268510259,0.22519074
59,0.800178412132025,0.6993592507121784,0.6993592507121784,0.7888626536336004,0.800178412132025,0.22802126
60,0.8037466547725245,0.7382332056906652,0.7382332056906652,0.8032876003871305,0.8037466547725245,0.22084174
61,0.7823371989295272,0.7721916499716819,0.7721916499716819,0.8153220937651936,0.7823371989295272,0.22099829
62,0.8028545941123997,0.7329288497789499,0.7329288497789499,0.8008260601011766,0.8028545941123997,0.22828944
63,0.8153434433541481,0.7330324009501348,0.7330324009501348,0.8084890573975487,0.8153434433541481,0.21796113
64,0.8073148974130241,0.7606277314263011,0.7606277314263011,0.8142497580372835,0.8073148974130241,0.22401612
65,0.8064228367528992,0.7694486005798866,0.7694486005798865,0.8181565276718668,0.8064228367528992,0.21485882
66,0.7769848349687779,0.773324372987092,0.7733243729870919,0.8157701477653324,0.7769848349687779,0.21929578
67,0.8019625334522748,0.757052046086611,0.757052046086611,0.8107064813232208,0.8019625334522748,0.21453853
68,0.8046387154326494,0.7282352344483047,0.7282352344483047,0.8001469360542018,0.8046387154326494,0.21836747
69,0.792149866190901,0.7504966229638459,0.7504966229638458,0.8044611814875798,0.792149866190901,0.21888968
70,0.8010704727921498,0.7470392818197956,0.7470392818197956,0.8057756102765445,0.8010704727921498,0.21291357
71,0.8055307760927743,0.755904530046746,0.755904530046746,0.8114484873868332,0.8055307760927743,0.21257032
72,0.7948260481712757,0.7487531593673658,0.7487531593673658,0.804378154656644,0.7948260481712757,0.21512552
73,0.7966101694915254,0.7499450544805958,0.7499450544805958,0.8055290297046591,0.7966101694915254,0.20560212
74,0.8019625334522748,0.7441039231100854,0.7441039231100854,0.8048634531687305,0.8019625334522748,0.20517983
75,0.8019625334522748,0.7629375565304863,0.7629375565304863,0.813581743159569,0.8019625334522748,0.2075665
76,0.8028545941123997,0.7705961166197517,0.7705961166197516,0.8177516067004867,0.8028545941123997,0.20836578
77,0.7894736842105263,0.7616569032705264,0.7616569032705264,0.8098758874073705,0.7894736842105263,0.20354094
78,0.7885816235504014,0.7587067515363612,0.7587067515363612,0.8080317330545327,0.7885816235504014,0.20456529
79,0.7867975022301517,0.7634003668670065,0.7634003668670065,0.8104185766072536,0.7867975022301517,0.20539863
80,0.8028545941123997,0.7694190145309766,0.7694190145309766,0.8171369355292302,0.8028545941123997,0.20577578
81,0.7975022301516503,0.7587807166586362,0.7587807166586362,0.8101967167533626,0.7975022301516503,0.20441368
82,0.8055307760927743,0.7335395903600199,0.73353959036002,0.8024759237196746,0.8055307760927743,0.20184207
83,0.7930419268510259,0.7475612642541357,0.7475612642541357,0.8032377361148698,0.7930419268510259,0.20368789
84,0.7591436217662801,0.7637596260323418,0.7637596260323418,0.809056046914842,0.7591436217662801,0.20251007
85,0.8046387154326494,0.7305894386258548,0.7305894386258548,0.8009493422488013,0.8046387154326494,0.19940622
86,0.7939339875111507,0.7446259055444255,0.7446259055444256,0.8020854658619111,0.7939339875111507,0.20176809
87,0.8019625334522748,0.7546978419090609,0.7546978419090609,0.8095944996067282,0.8019625334522748,0.20115443
88,0.7903657448706513,0.7575444424720412,0.7575444424720411,0.807760359453639,0.7903657448706513,0.19305952
89,0.7939339875111507,0.7352090888342251,0.7352090888342252,0.7977217678810397,0.7939339875111507,0.19973372
90,0.7885816235504014,0.7704777724241119,0.7704777724241119,0.8149137022739446,0.7885816235504014,0.19815297
91,0.7894736842105263,0.7628340053593015,0.7628340053593015,0.8105481811615863,0.7894736842105263,0.19302565
92,0.7992863514719001,0.754087101327991,0.754087101327991,0.8084011955071683,0.7992863514719001,0.19996946
93,0.792149866190901,0.752850827141396,0.752850827141396,0.8056795563501815,0.792149866190901,0.19616093
94,0.7992863514719001,0.7423160804402404,0.7423160804402403,0.802987688040692,0.7992863514719001,0.19966047
95,0.8010704727921498,0.7270285463106196,0.7270285463106197,0.7977229859992977,0.8010704727921498,0.19385304
96,0.7930419268510259,0.7251963245674097,0.7251963245674098,0.7930419268510259,0.7930419268510259,0.18941587
97,0.8090990187332738,0.7559341160956559,0.755934116095656,0.8128901255911446,0.8090990187332738,0.19214845
98,0.7930419268510259,0.7640406934969864,0.7640406934969866,0.8119285864394127,0.7930419268510259,0.19737287
99,0.7975022301516503,0.7552494103923111,0.755249410392311,0.8084131065450266,0.7975022301516503,0.188756
100,0.8055307760927743,0.7300082840936948,0.7300082840936948,0.8012608489329927,0.8055307760927743,0.1920241
101,0.7493309545049064,0.7630897133534518,0.7630897133534519,0.8091797703582851,0.7493309545049064,0.1893044
102,0.8028545941123997,0.7411685644003754,0.7411685644003754,0.8040331481718056,0.8028545941123997,0.18852545
103,0.7983942908117752,0.7570224600377011,0.7570224600377011,0.80956484361537,0.7983942908117752,0.18616585
104,0.7912578055307761,0.7652030025613066,0.7652030025613066,0.8122346061383543,0.7912578055307761,0.18905976
105,0.7805530776092774,0.7427493047278506,0.7427493047278506,0.7974563942111262,0.7805530776092774,0.18171912
106,0.7992863514719001,0.7646810201269665,0.7646810201269664,0.8137306535127781,0.7992863514719001,0.19090185
107,0.7983942908117752,0.7570224600377011,0.7570224600377011,0.80956484361537,0.7983942908117752,0.1811892
108,0.7876895628902766,0.7557565998021962,0.7557565998021961,0.8061963601330222,0.7876895628902766,0.17655097
109,0.7966101694915254,0.755830564924471,0.755830564924471,0.8084424659424513,0.7966101694915254,0.18512572
110,0.7992863514719001,0.7599726117718661,0.7599726117718663,0.8113088545797233,0.7992863514719001,0.18283491
111,0.7627118644067796,0.7543723953710513,0.7543723953710513,0.8024344718963775,0.7627118644067796,0.18191423
112,0.8099910793933988,0.757707165741046,0.757707165741046,0.8140157872865245,0.8099910793933988,0.18452382
113,0.775200713648528,0.750944640275911,0.750944640275911,0.8012593056957555,0.775200713648528,0.17525868
114,0.7734165923282783,0.7438672347188058,0.7438672347188058,0.7967555097304316,0.7734165923282783,0.17444365
115,0.7725245316681534,0.7538652059611662,0.7538652059611662,0.8027503028301815,0.7725245316681534,0.19230732
116,0.7769848349687779,0.7615533520993416,0.7615533520993414,0.8080485300260878,0.7769848349687779,0.17875242
117,0.7787689562890276,0.7450887158809458,0.7450887158809458,0.7983997624779556,0.7787689562890276,0.17578577
118,0.7966101694915254,0.7534763607469209,0.7534763607469209,0.8072614454772329,0.7966101694915254,0.17703423
119,0.7885816235504014,0.7693006703353368,0.7693006703353368,0.8142026664411955,0.7885816235504014,0.1663176
120,0.7876895628902766,0.7498710893583209,0.7498710893583209,0.8029755783174876,0.7876895628902766,0.17388034
121,0.8010704727921498,0.7752897319503969,0.7752897319503969,0.8198637343139621,0.8010704727921498,0.18245158
122,0.7885816235504014,0.7481128327373858,0.7481128327373857,0.8022647676567304,0.7885816235504014,0.17415485
123,0.7867975022301517,0.7704629793996568,0.7704629793996568,0.8146761979413172,0.7867975022301517,0.16166808
124,0.7957181088314005,0.7493491069239808,0.7493491069239807,0.8049522708975854,0.7957181088314005,0.17639197
125,0.7876895628902766,0.7628192123348465,0.7628192123348465,0.810224314814534,0.7876895628902766,0.17133826
126,0.7992863514719001,0.7587955096830912,0.7587955096830912,0.8107166829826068,0.7992863514719001,0.1663714
127,0.7966101694915254,0.7605389732795713,0.7605389732795713,0.810867013200786,0.7966101694915254,0.16947263
128,0.784121320249777,0.7404246865992106,0.7404246865992106,0.7970654598244419,0.784121320249777,0.16235165
129,0.8028545941123997,0.7529395852881259,0.7529395852881259,0.8091047802275853,0.8028545941123997,0.17272541
130,0.7975022301516503,0.7411241853270103,0.7411241853270104,0.8017528296188965,0.7975022301516503,0.16663182
131,0.7698483496877788,0.7355979340484704,0.7355979340484704,0.7913087148916551,0.7698483496877788,0.1633851
132,0.7885816235504014,0.7375189139384103,0.7375189139384102,0.796895479769795,0.7885816235504014,0.16465008
133,0.7885816235504014,0.751644139003711,0.7516441390037111,0.8041426981299248,0.7885816235504014,0.16161828
134,0.784121320249777,0.7463101970430858,0.7463101970430858,0.8002096784445815,0.784121320249777,0.17043881
135,0.7912578055307761,0.7416609607858055,0.7416609607858055,0.7997762564655634,0.7912578055307761,0.1722587
136,0.7876895628902766,0.752225293535871,0.752225293535871,0.8042491704077739,0.7876895628902766,0.15939142
137,0.7992863514719001,0.7670352243045165,0.7670352243045165,0.8149734187809389,0.7992863514719001,0.16705923
138,0.800178412132025,0.7652769676835814,0.7652769676835813,0.8142753719426794,0.800178412132025,0.16354448
139,0.7903657448706513,0.7457734215842906,0.7457734215842906,0.8015462253261322,0.7903657448706513,0.15864222
