epoch,accuracy_score,balanced_accuracy,roc_score,precision,recall,mcc,loss
0,0.5,0.5513495720868993,0.5513495720868993,0.7281803542673108,0.5,0.2031701506669451,1.0572453
1,0.5135135135135135,0.5623765635286373,0.5623765635286373,0.7124966550709125,0.5135135135135135,0.21636381891012488,0.8831771
2,0.6576576576576577,0.684990125082291,0.684990125082291,0.7401927243699397,0.6576576576576577,0.4055868741639238,0.856483
3,0.6531531531531531,0.678818301514154,0.6788183015141541,0.7258164278867216,0.6531531531531531,0.3868678065389479,0.80670273
4,0.6531531531531531,0.6798880842659645,0.6798880842659645,0.7314635556673773,0.6531531531531531,0.39259952364945483,0.76788056
5,0.6351351351351351,0.6691079657669519,0.6691079657669519,0.7574137605097356,0.6351351351351351,0.3992406906469651,0.7398796
6,0.6351351351351351,0.6680381830151416,0.6680381830151416,0.7487877516905094,0.6351351351351351,0.39145384739985983,0.71806395
7,0.6576576576576577,0.6914088215931533,0.6914088215931533,0.7863601157718806,0.6576576576576577,0.44883807711537926,0.72463477
8,0.6261261261261262,0.6599736668861094,0.6599736668861094,0.74388010301323,0.6261261261261262,0.37767586502077866,0.7104014
9,0.6846846846846847,0.712393021724819,0.712393021724819,0.774756956323412,0.6846846846846847,0.4656671362175655,0.66297513
10,0.7342342342342343,0.7385615536537196,0.7385615536537196,0.7427206373378331,0.7342342342342343,0.4739165331816072,0.68834466
11,0.6981981981981982,0.7073732718894009,0.7073732718894008,0.7164259603283993,0.6981981981981982,0.4143205771649864,0.6649506
12,0.7387387387387387,0.7554312047399605,0.7554312047399606,0.779248468714953,0.7387387387387387,0.5207258625322917,0.63952565
13,0.6486486486486487,0.6812047399605003,0.6812047399605003,0.7641808475141809,0.6486486486486487,0.41944199378713376,0.60332596
14,0.6576576576576577,0.6881994733377222,0.6881994733377221,0.7607365565733942,0.6576576576576577,0.42543807903511777,0.6619753
15,0.7162162162162162,0.7363396971691902,0.7363396971691901,0.769668579795162,0.7162162162162162,0.49024027409167054,0.60555065
16,0.7432432432432432,0.755184331797235,0.755184331797235,0.7682216821048151,0.7432432432432432,0.5122054773474133,0.6184385
17,0.6756756756756757,0.6497695852534562,0.6497695852534562,0.6874957379583116,0.6756756756756757,0.33856462782855895,0.5769571
18,0.7162162162162162,0.7224325213956551,0.7224325213956551,0.7282755282755282,0.7162162162162162,0.44245038824549987,0.5591813
19,0.7252252252252253,0.7390552995391705,0.7390552995391706,0.755688160268313,0.7252252252252253,0.48272068373500626,0.5583628
20,0.7117117117117117,0.7323074391046741,0.732307439104674,0.7669448294448294,0.7117117117117117,0.48326845298125964,0.55075556
21,0.6801801801801802,0.6965931533903884,0.6965931533903884,0.7176385488107258,0.6801801801801802,0.4016543904404831,0.55652744
22,0.7117117117117117,0.7216096115865701,0.7216096115865701,0.7315075114614286,0.7117117117117117,0.4432192231731402,0.5370412
23,0.7342342342342343,0.7150263331138906,0.7150263331138907,0.7434032497971117,0.7342342342342343,0.4613975288360634,0.5444573
24,0.7072072072072072,0.7026003949967083,0.7026003949967083,0.7069103742918177,0.7072072072072072,0.4056516905112637,0.5161278
