epoch,accuracy_score,balanced_accuracy,roc_score,precision,recall,loss
0,0.47413793103448276,0.5,0.5,0.22480677764565993,0.47413793103448276,1.085748
1,0.47413793103448276,0.5,0.5,0.22480677764565993,0.47413793103448276,1.0353402
2,0.5258620689655172,0.5487332339791356,0.5487332339791356,0.7253694581280787,0.5258620689655172,1.0101457
3,0.5431034482758621,0.5637853949329359,0.5637853949329359,0.6798463748894783,0.5431034482758621,0.98271495
4,0.6206896551724138,0.6312965722801788,0.6312965722801789,0.6599039104786232,0.6206896551724138,0.9087799
5,0.6206896551724138,0.6326378539493294,0.6326378539493294,0.6707268575533663,0.6206896551724138,0.9009582
6,0.625,0.6380774962742175,0.6380774962742175,0.6874938767512492,0.625,0.8893738
7,0.5732758620689655,0.5929210134128167,0.5929210134128167,0.7213776116867675,0.5732758620689655,0.8499373
8,0.521551724137931,0.5437406855439643,0.5437406855439643,0.669029199490542,0.521551724137931,0.8177512
9,0.5603448275862069,0.5806259314456036,0.5806259314456036,0.7114612036774742,0.5603448275862069,0.82427406
10,0.603448275862069,0.6193740685543965,0.6193740685543965,0.6944189195724718,0.603448275862069,0.78847826
11,0.6206896551724138,0.6353204172876304,0.6353204172876303,0.7008915414087827,0.6206896551724138,0.79807055
12,0.5689655172413793,0.5879284649776453,0.5879284649776453,0.6926185344827587,0.5689655172413793,0.78409064
13,0.5086206896551724,0.5323397913561848,0.5323397913561848,0.7060733146940044,0.5086206896551724,0.777171
14,0.6551724137931034,0.665424739195231,0.665424739195231,0.6978268678160918,0.6551724137931034,0.7577372
15,0.6853448275862069,0.6936661698956781,0.6936661698956781,0.7171467920687683,0.6853448275862069,0.7668947
16,0.6206896551724138,0.6348733233979136,0.6348733233979136,0.6948498285189489,0.6206896551724138,0.73627067
17,0.6982758620689655,0.6943368107302533,0.6943368107302533,0.6993111899932387,0.6982758620689655,0.76467574
18,0.5129310344827587,0.5364381520119226,0.5364381520119226,0.7119072610959021,0.5129310344827587,0.7496183
19,0.5517241379310345,0.5733233979135619,0.5733233979135619,0.7433474300585556,0.5517241379310345,0.73934877
20,0.6939655172413793,0.6924739195230999,0.6924739195230998,0.6936841766032871,0.6939655172413793,0.7441265
21,0.6681034482758621,0.6777198211624441,0.6777198211624441,0.707588403250604,0.6681034482758621,0.7384846
22,0.5431034482758621,0.5646795827123696,0.5646795827123696,0.7148178269355888,0.5431034482758621,0.7395292
23,0.5603448275862069,0.5801788375558867,0.5801788375558867,0.6971047039505458,0.5603448275862069,0.72852486
24,0.5991379310344828,0.6170640834575261,0.6170640834575261,0.7267486319210457,0.5991379310344828,0.6930676
25,0.6508620689655172,0.6626676602086438,0.6626676602086439,0.7070164710367063,0.6508620689655172,0.6977128
26,0.625,0.6412071535022354,0.6412071535022354,0.7336601307189542,0.625,0.6943286
27,0.6551724137931034,0.665424739195231,0.665424739195231,0.6978268678160918,0.6551724137931034,0.68683493
28,0.7155172413793104,0.7214605067064084,0.7214605067064084,0.734552366673806,0.7155172413793104,0.69460344
29,0.5646551724137931,0.5847242921013414,0.5847242921013412,0.7149098215120082,0.5646551724137931,0.68658125
30,0.5818965517241379,0.6011177347242921,0.6011177347242922,0.7273739755062286,0.5818965517241379,0.70197165
31,0.7198275862068966,0.7224292101341281,0.7224292101341282,0.725410892684499,0.7198275862068966,0.6891641
32,0.7025862068965517,0.7024590163934425,0.7024590163934425,0.7031199113762073,0.7025862068965517,0.6447995
33,0.5732758620689655,0.5933681073025335,0.5933681073025335,0.7366990623929228,0.5732758620689655,0.6778895
34,0.5603448275862069,0.5815201192250373,0.5815201192250373,0.7480594118525153,0.5603448275862069,0.6625552
35,0.5474137931034483,0.5687779433681073,0.5687779433681073,0.7184666806745577,0.5474137931034483,0.6635452
36,0.6724137931034483,0.6773472429210134,0.6773472429210134,0.6852550287356323,0.6724137931034483,0.63970244
37,0.6896551724137931,0.697317436661699,0.697317436661699,0.7173756268583855,0.6896551724137931,0.64732087
38,0.7068965517241379,0.7123695976154993,0.7123695976154993,0.7231969121822067,0.7068965517241379,0.650611
39,0.5818965517241379,0.6002235469448585,0.6002235469448585,0.7034520267060088,0.5818965517241379,0.6303015
40,0.4870689655172414,0.5122950819672131,0.5122950819672132,0.7536139135672338,0.4870689655172414,0.6535719
41,0.6551724137931034,0.668107302533532,0.668107302533532,0.725400962309543,0.6551724137931034,0.67172426
42,0.6896551724137931,0.6977645305514157,0.6977645305514157,0.720381272778245,0.6896551724137931,0.6589441
43,0.6379310344827587,0.6530551415797318,0.6530551415797317,0.7336945812807881,0.6379310344827587,0.63382804
