,aid,teacher_accuracy,teacher_balanced_accuracy,teacher_roc,teacher_precision,teacher_recall,student_accuracy,student_balanced_accuracy,student_roc,student_precision,student_recall
0,411.0,0.9771545727465768,0.5453089189728625,0.5453089189728624,0.9707221903255854,0.9771545727465768,0.977227795269825,0.5408718005189371,0.540871800518937,0.9715682954849787,0.977227795269825
1,519.0,0.9259259259259259,0.5,0.5,0.8573388203017833,0.9259259259259259,0.9259259259259259,0.5,0.5,0.8573388203017833,0.9259259259259259
2,523.0,0.8333333333333334,0.8333333333333333,0.8333333333333334,0.875,0.8333333333333334,0.8333333333333334,0.8333333333333333,0.8333333333333334,0.875,0.8333333333333334
3,679.0,0.7368421052631579,0.5,0.5,0.5429362880886427,0.7368421052631579,0.7368421052631579,0.5,0.5,0.5429362880886427,0.7368421052631579
4,711.0,0.75,0.5,0.5,0.5625,0.75,0.75,0.5,0.5,0.5625,0.75
5,712.0,0.8076923076923077,0.7361344537815127,0.7361344537815124,0.8092273580078457,0.8076923076923077,0.7692307692307693,0.6773109243697479,0.6773109243697478,0.7708209103557941,0.7692307692307693
6,713.0,0.5113636363636364,0.5113636363636364,0.5113636363636365,0.511512297226583,0.5113636363636364,0.5340909090909091,0.5340909090909091,0.5340909090909091,0.5341085271317829,0.5340909090909091
7,714.0,0.8888888888888888,0.75,0.75,0.9027777777777778,0.8888888888888888,0.8888888888888888,0.75,0.75,0.9027777777777778,0.8888888888888888
8,716.0,0.7894736842105263,0.6,0.6,0.8362573099415205,0.7894736842105263,0.7894736842105263,0.6,0.6,0.8362573099415205,0.7894736842105263
9,718.0,0.8888888888888888,0.5,0.5,0.7901234567901234,0.8888888888888888,0.8888888888888888,0.5,0.5,0.7901234567901234,0.8888888888888888
10,721.0,0.7368421052631579,0.5,0.5,0.5429362880886427,0.7368421052631579,0.7368421052631579,0.5,0.5,0.5429362880886427,0.7368421052631579
11,724.0,0.75,0.7,0.7,0.8249999999999998,0.75,0.5833333333333334,0.5,0.5,0.34027777777777785,0.5833333333333334
12,728.0,0.8823529411764706,0.9230769230769231,0.9230769230769231,0.9215686274509803,0.8823529411764706,0.8823529411764706,0.9230769230769231,0.9230769230769231,0.9215686274509803,0.8823529411764706
13,733.0,0.5064935064935064,0.5077597840755735,0.5077597840755735,0.5081692501047339,0.5064935064935064,0.5324675324675324,0.5340755735492577,0.5340755735492577,0.5364793252724287,0.5324675324675324
14,737.0,0.6842105263157895,0.5,0.5,0.46814404432132967,0.6842105263157895,0.631578947368421,0.46153846153846156,0.46153846153846156,0.45614035087719296,0.631578947368421
15,787.0,0.9459459459459459,0.8598484848484849,0.8598484848484849,0.9459459459459459,0.9459459459459459,0.9459459459459459,0.8598484848484849,0.8598484848484849,0.9459459459459459,0.9459459459459459
16,820.0,0.8,0.8055555555555556,0.8055555555555555,0.8107142857142856,0.8,0.7333333333333333,0.75,0.75,0.7642857142857142,0.7333333333333333
17,825.0,0.8421052631578947,0.85,0.85,0.881578947368421,0.8421052631578947,0.8421052631578947,0.85,0.85,0.881578947368421,0.8421052631578947
18,826.0,0.95,0.5,0.5,0.9025000000000001,0.95,0.95,0.5,0.5,0.9025000000000001,0.95
19,830.0,0.7272727272727273,0.6041666666666666,0.6041666666666667,0.702020202020202,0.7272727272727273,0.8181818181818182,0.7708333333333333,0.7708333333333335,0.8181818181818182,0.8181818181818182
20,831.0,0.8076923076923077,0.6416666666666666,0.6416666666666666,0.7892976588628762,0.8076923076923077,0.8461538461538461,0.6666666666666666,0.6666666666666666,0.8717948717948718,0.8461538461538461
21,832.0,0.631578947368421,0.5625,0.5625,0.7748538011695907,0.631578947368421,0.5789473684210527,0.5,0.5,0.335180055401662,0.5789473684210527
22,846.0,0.9285714285714286,0.9089430894308943,0.9089430894308943,0.9285714285714286,0.9285714285714286,0.9107142857142857,0.875609756097561,0.875609756097561,0.909438775510204,0.9107142857142857
23,851.0,0.9333333333333333,0.9615384615384616,0.9615384615384616,0.9555555555555556,0.9333333333333333,0.9333333333333333,0.9615384615384616,0.9615384615384616,0.9555555555555556,0.9333333333333333
24,852.0,0.888,0.8008100147275405,0.8008100147275404,0.8839329214474846,0.888,0.896,0.8059646539027983,0.8059646539027981,0.8933846153846153,0.896
25,854.0,0.6923076923076923,0.5694444444444444,0.5694444444444444,0.6573426573426574,0.6923076923076923,0.7692307692307693,0.625,0.625,0.8269230769230769,0.7692307692307693
