,training,training,training,training,training,training,testing,testing,testing,testing,testing,testing,training
,accuracy_score,balanced_accuracy,roc_score,precision,recall,mcc,accuracy_score,balanced_accuracy,roc_score,precision,recall,mcc,loss
0,0.7521367521367521,0.5,0.5,0.5657096939148221,0.7521367521367521,0.0,0.7521367521367521,0.5,0.5,0.5657096939148221,0.7521367521367521,0.0,1.3041506
1,0.7467948717948718,0.5210129310344828,0.5210129310344828,0.6799016665237401,0.7467948717948718,0.09080681175698917,0.7435897435897436,0.5289968652037618,0.5289968652037618,0.6805860805860806,0.7435897435897436,0.10557862891477611,1.1157542
2,0.7232905982905983,0.6686667319749215,0.6686667319749215,0.7461998292920161,0.7232905982905983,0.31588314347437896,0.7222222222222222,0.6592868338557993,0.6592868338557992,0.7404186795491142,0.7222222222222222,0.3016571952593626,1.0943663
3,0.7681623931623932,0.7259502351097179,0.7259502351097179,0.7870363471367806,0.7681623931623932,0.4248379522567579,0.7435897435897436,0.6908307210031348,0.6908307210031348,0.7624586795318503,0.7435897435897436,0.3598965417125073,1.0191376
4,0.8141025641025641,0.7232562695924765,0.7232562695924766,0.8056719912390016,0.8141025641025641,0.47562115572133284,0.8076923076923077,0.7045454545454546,0.7045454545454545,0.7964636186858408,0.8076923076923077,0.4481805449434423,0.9627549
5,0.7670940170940171,0.7440242946708464,0.7440242946708464,0.7975605394754112,0.7670940170940171,0.44773945914942986,0.7521367521367521,0.6965125391849529,0.696512539184953,0.7673257131088457,0.7521367521367521,0.3737507676087089,0.9373
6,0.7521367521367521,0.7774294670846396,0.7774294670846396,0.8215657128700607,0.7521367521367521,0.4870547176056692,0.7478632478632479,0.7514694357366771,0.7514694357366771,0.8020557857055338,0.7478632478632479,0.4473078596246653,0.890576
7,0.7916666666666666,0.7762539184952978,0.7762539184952978,0.8201328564128767,0.7916666666666666,0.5072893612512768,0.7649572649572649,0.7223746081504703,0.7223746081504703,0.784403869602176,0.7649572649572649,0.4176981440786797,0.8822249
8,0.7670940170940171,0.7830378134796239,0.7830378134796239,0.824293228139382,0.7670940170940171,0.5013673772159983,0.7435897435897436,0.748628526645768,0.7486285266457681,0.8001899335232668,0.7435897435897436,0.4413150943930934,0.8745817
9,0.7884615384615384,0.8015771943573667,0.8015771943573667,0.8367670554701272,0.7884615384615384,0.5382400176791323,0.7649572649572649,0.7743926332288402,0.7743926332288401,0.8180000463611466,0.7649572649572649,0.48808309887366086,0.82726985
10,0.7681623931623932,0.7967525470219436,0.7967525470219435,0.8348707277841135,0.7681623931623932,0.5216098614275115,0.7435897435897436,0.7428487460815048,0.7428487460815048,0.795977424402082,0.7435897435897436,0.4329307440235824,0.8648292
11,0.8034188034188035,0.8216349921630094,0.8216349921630095,0.8507088891389234,0.8034188034188035,0.5740381802972263,0.7777777777777778,0.7829153605015674,0.7829153605015673,0.8237307074516377,0.7777777777777778,0.5067301795817684,0.8213177
12,0.8162393162393162,0.7709149686520376,0.7709149686520376,0.8232646744595273,0.8162393162393162,0.5248302757191836,0.782051282051282,0.7163989028213166,0.7163989028213167,0.7859473670143622,0.782051282051282,0.4256644802226529,0.79710513
13,0.7831196581196581,0.7994710031347962,0.7994710031347962,0.8354735898167779,0.7831196581196581,0.5324044847239621,0.7777777777777778,0.7655760188087775,0.7655760188087775,0.8121031746031745,0.7777777777777778,0.48348591720938855,0.84236544
14,0.8504273504273504,0.7777478448275862,0.7777478448275862,0.8454121769334761,0.8504273504273504,0.5830251652756654,0.7948717948717948,0.672903605015674,0.6729036050156739,0.77911049431668,0.7948717948717948,0.3966189989604949,0.8083666
15,0.6837606837606838,0.7652086598746082,0.7652086598746082,0.8310841205578047,0.6837606837606838,0.4587471820801635,0.688034188034188,0.7579349529780564,0.7579349529780566,0.8212048252968968,0.688034188034188,0.4455414595343964,0.7502409
16,0.7243589743589743,0.7806377351097179,0.7806377351097178,0.8308350251898639,0.7243589743589743,0.4855558690323683,0.6923076923076923,0.7318769592476488,0.7318769592476488,0.7943404332293221,0.6923076923076923,0.40166202421782543,0.7575506
17,0.7970085470085471,0.8188185736677116,0.8188185736677116,0.8489670512828774,0.7970085470085471,0.5664981548431254,0.7521367521367521,0.7543103448275862,0.7543103448275862,0.8039456738086875,0.7521367521367521,0.4533635383159419,0.71613264
18,0.8525641025641025,0.828296434169279,0.828296434169279,0.8621133164211188,0.8525641025641025,0.6271491746243713,0.8418803418803419,0.7966300940438871,0.7966300940438872,0.8448239695278452,0.8418803418803419,0.5834821394813006,0.7265025
19,0.8536324786324786,0.8290066614420062,0.8290066614420063,0.8628261183811141,0.8536324786324786,0.6292110187275721,0.7991452991452992,0.7277625391849529,0.727762539184953,0.7980003608906374,0.7991452991452992,0.4582036676984209,0.68795323
20,0.6976495726495726,0.7845562304075235,0.7845562304075235,0.84624440814917,0.6976495726495726,0.4922735736321313,0.7094017094017094,0.7663597178683386,0.7663597178683385,0.82184766508537,0.7094017094017094,0.4604473161371915,0.7130589
21,0.6816239316239316,0.7739028213166144,0.7739028213166143,0.8423743736088393,0.6816239316239316,0.4749708269634619,0.6495726495726496,0.7265869905956113,0.7265869905956113,0.8037127481571927,0.6495726495726496,0.3924986320303465,0.7194334
22,0.7564102564102564,0.8207288401253918,0.8207288401253918,0.8591540813926135,0.7564102564102564,0.5552263702513973,0.717948717948718,0.7547021943573667,0.7547021943573669,0.8086785009861934,0.717948717948718,0.4426338948728194,0.67753136
23,0.8653846153846154,0.8151449843260188,0.8151449843260189,0.8642786603898407,0.8653846153846154,0.6358978011770353,0.8162393162393162,0.7564655172413793,0.7564655172413793,0.8173200057945821,0.8162393162393162,0.5100165592480197,0.6765857
24,0.8397435897435898,0.8298883228840126,0.8298883228840125,0.8590860259752116,0.8397435897435898,0.6137423352501068,0.7777777777777778,0.7308973354231976,0.7308973354231975,0.7918536892668714,0.7777777777777778,0.43914783611850794,0.6352069
25,0.7959401709401709,0.8354476880877744,0.8354476880877743,0.8621331553545586,0.7959401709401709,0.5891463183977045,0.782051282051282,0.7973158307210031,0.7973158307210031,0.8339443070167596,0.782051282051282,0.5288583381226565,0.64452803
26,0.6762820512820513,0.7689067398119123,0.7689067398119122,0.8393569342928556,0.6762820512820513,0.46658754200112346,0.6581196581196581,0.7438283699059561,0.7438283699059561,0.8192894795194324,0.6581196581196581,0.4229866338575578,0.6710146
27,0.7649572649572649,0.82641065830721,0.82641065830721,0.8617760846033714,0.7649572649572649,0.5658103772682103,0.7094017094017094,0.7490203761755485,0.7490203761755485,0.8056160296726335,0.7094017094017094,0.43199358106304214,0.62181413
28,0.8002136752136753,0.8469582680250785,0.8469582680250783,0.8710106623525521,0.8002136752136753,0.6075065000357834,0.7478632478632479,0.7688087774294671,0.7688087774294671,0.8152422191801216,0.7478632478632479,0.47268799141266005,0.5957767
29,0.8397435897435898,0.8067692006269593,0.8067692006269593,0.8479003422714207,0.8397435897435898,0.5900536190395201,0.7948717948717948,0.7538205329153604,0.7538205329153606,0.8082056733722218,0.7948717948717948,0.48274588179170724,0.62012357
30,0.7788461538461539,0.8341986677115988,0.8341986677115988,0.8648747305454051,0.7788461538461539,0.5812181418111512,0.7264957264957265,0.7488244514106583,0.7488244514106583,0.8021157180821047,0.7264957264957265,0.4355227939115566,0.5979826
31,0.8408119658119658,0.8638322884012539,0.8638322884012537,0.8799544453477838,0.8408119658119658,0.6536940636315637,0.7777777777777778,0.759796238244514,0.759796238244514,0.8084593469208854,0.7777777777777778,0.47590863431247615,0.57970446
32,0.844017094017094,0.8674079153605017,0.8674079153605017,0.8824461991428805,0.844017094017094,0.6605411587547555,0.7692307692307693,0.7830133228840126,0.7830133228840125,0.8241215574548909,0.7692307692307693,0.5023480329793722,0.5704275
33,0.8643162393162394,0.8635628918495297,0.8635628918495297,0.8826314634506284,0.8643162393162394,0.6757714568633469,0.8247863247863247,0.7968260188087775,0.7968260188087775,0.838226186052273,0.8247863247863247,0.5621287217932771,0.57063156
34,0.8226495726495726,0.8647629310344828,0.8647629310344828,0.8818788031683155,0.8226495726495726,0.643083039249253,0.7564102564102564,0.7860501567398119,0.7860501567398119,0.827935578104891,0.7564102564102564,0.5014138960534172,0.60435593
35,0.8151709401709402,0.8467868338557993,0.8467868338557993,0.8686463112926701,0.8151709401709402,0.6145996305095534,0.7692307692307693,0.7887931034482758,0.7887931034482758,0.8284893306326251,0.7692307692307693,0.5105626703399069,0.56879675
36,0.7724358974358975,0.8111530172413793,0.8111530172413792,0.8460460668296693,0.7724358974358975,0.544425106034101,0.7136752136752137,0.7056230407523512,0.7056230407523512,0.7701672643943082,0.7136752136752137,0.3657573811266741,0.5548439
37,0.8472222222222222,0.8579790360501567,0.8579790360501568,0.876512286560909,0.8472222222222222,0.6521987894779792,0.8034188034188035,0.7884012539184952,0.7884012539184952,0.8289914985451294,0.8034188034188035,0.5318168961569305,0.53834355
38,0.8717948717948718,0.8699794278996865,0.8699794278996865,0.8878383742160834,0.8717948717948718,0.6909118417248314,0.782051282051282,0.7510775862068966,0.7510775862068966,0.8038624071977258,0.782051282051282,0.46798712274990883,0.55188257
39,0.6442307692307693,0.7634943181818181,0.7634943181818181,0.8539142273655549,0.6442307692307693,0.46517931386365546,0.5641025641025641,0.6582092476489029,0.6582092476489029,0.7640884324901471,0.5641025641025641,0.2797010558341077,0.5270866
40,0.8888888888888888,0.8957925156739812,0.8957925156739812,0.9054223974117165,0.8888888888888888,0.7363541113568653,0.8333333333333334,0.8140673981191222,0.8140673981191223,0.8492468101039777,0.8333333333333334,0.5899296255137653,0.5287897
41,0.8814102564102564,0.8518074059561129,0.8518074059561129,0.8843813228505002,0.8814102564102564,0.6892983004990059,0.8461538461538461,0.7879114420062696,0.7879114420062697,0.8444715396962588,0.8461538461538461,0.582713710221776,0.5551437
42,0.8792735042735043,0.8243779388714734,0.8243779388714735,0.8766473841571732,0.8792735042735043,0.6681172382649595,0.7948717948717948,0.7018025078369906,0.7018025078369906,0.7863991081382385,0.7948717948717948,0.42514098231681285,0.5223576
43,0.6837606837606838,0.7796581112852665,0.7796581112852665,0.8481609990544653,0.6837606837606838,0.4853443217040045,0.6324786324786325,0.7152233542319749,0.7152233542319749,0.7987508218277449,0.6324786324786325,0.3740256411675324,0.4984036
44,0.7350427350427351,0.8050793495297806,0.8050793495297807,0.8514148957328074,0.7350427350427351,0.5271347948764138,0.7136752136752137,0.7287421630094044,0.7287421630094043,0.7877088756011172,0.7136752136752137,0.4009593997550443,0.53421116
45,0.8076923076923077,0.8577096394984326,0.8577096394984326,0.8786822421276202,0.8076923076923077,0.6261068826645863,0.7051282051282052,0.7346199059561129,0.7346199059561129,0.7939349368238422,0.7051282051282052,0.40814165626751103,0.48335606
46,0.8717948717948718,0.8468603056426333,0.8468603056426333,0.8777288774201719,0.8717948717948718,0.6703324139239651,0.811965811965812,0.7594043887147335,0.7594043887147335,0.8165951744346344,0.811965811965812,0.5075952829139959,0.49294972
47,0.782051282051282,0.831994514106583,0.831994514106583,0.8620370423392831,0.782051282051282,0.5788215960490491,0.7478632478632479,0.7572492163009404,0.7572492163009404,0.8063304217150371,0.7478632478632479,0.4556859851411998,0.55700576
48,0.8290598290598291,0.8776939655172413,0.8776939655172413,0.8914335737887422,0.8290598290598291,0.6641576351645447,0.7649572649572649,0.7801724137931034,0.7801724137931034,0.8222973607588994,0.7649572649572649,0.4962916669854651,0.4744792
49,0.8952991452991453,0.915948275862069,0.915948275862069,0.9176238558697593,0.8952991452991453,0.7631881748488476,0.8076923076923077,0.7854623824451411,0.7854623824451411,0.8280635386055278,0.8076923076923077,0.5320774388190536,0.4756114
50,0.8215811965811965,0.8756122648902821,0.8756122648902822,0.891150550204024,0.8215811965811965,0.6576782092926385,0.7478632478632479,0.7688087774294671,0.7688087774294671,0.8152422191801216,0.7478632478632479,0.47268799141266005,0.4317278
51,0.8974358974358975,0.8812451018808778,0.8812451018808777,0.9025695554816773,0.8974358974358975,0.7367834983798888,0.8162393162393162,0.7622452978056427,0.7622452978056427,0.8195911398792097,0.8162393162393162,0.515845999799023,0.42033133
