,training,training,training,training,training,training,testing,testing,testing,testing,testing,testing,training
,accuracy_score,balanced_accuracy,roc_score,precision,recall,mcc,accuracy_score,balanced_accuracy,roc_score,precision,recall,mcc,loss
0,0.6732209737827716,0.5014285714285714,0.5014285714285714,0.780105584982221,0.6732209737827716,0.043847616457513644,0.6753731343283582,0.5056818181818182,0.5056818181818182,0.7811504276370953,0.6753731343283582,0.08752644427483217,1.1746627
1,0.7228464419475655,0.6620771985674493,0.6620771985674493,0.7123346590285295,0.7228464419475655,0.3436068145578744,0.6940298507462687,0.6328282828282829,0.6328282828282829,0.6829533025870924,0.6940298507462687,0.2790496085900338,1.0465688
2,0.7191011235955056,0.718599283724632,0.718599283724632,0.7462224250344465,0.7191011235955056,0.41535113450780065,0.6977611940298507,0.70239898989899,0.7023989898989899,0.7327869142247704,0.6977611940298507,0.38260382735546017,0.9716467
3,0.7687265917602997,0.7372025467568644,0.7372025467568644,0.7685580769872172,0.7687265917602997,0.47475377735703733,0.7313432835820896,0.7070707070707071,0.7070707070707071,0.7382274673145899,0.7313432835820896,0.4056265846327545,0.9188575
4,0.7237827715355806,0.6232351770791882,0.6232351770791882,0.7104989461683424,0.7237827715355806,0.3111253858574223,0.7052238805970149,0.6121212121212121,0.6121212121212121,0.6852765179254175,0.7052238805970149,0.26827512970144474,0.8545978
5,0.7162921348314607,0.5935017906884202,0.5935017906884202,0.7117127501241436,0.7162921348314607,0.2789584885867415,0.6865671641791045,0.5662878787878788,0.5662878787878788,0.65708786384818,0.6865671641791045,0.18706576696464738,0.8029385
6,0.8043071161048689,0.8112574612017509,0.8112574612017509,0.8252709574412709,0.8043071161048689,0.5934620406336601,0.7649253731343284,0.7611111111111111,0.7611111111111112,0.7824033602233217,0.7649253731343284,0.5007582468080034,0.78452855
7,0.7837078651685393,0.6992877039395144,0.6992877039395144,0.786364198385548,0.7837078651685393,0.48047447075062594,0.7425373134328358,0.6457070707070707,0.6457070707070708,0.7364775524470325,0.7425373134328358,0.36612511669238446,0.7613293
8,0.8136704119850188,0.7757540787902905,0.7757540787902905,0.8102314006562182,0.8136704119850188,0.5676693157838998,0.7947761194029851,0.7542929292929292,0.7542929292929292,0.7906849117882557,0.7947761194029851,0.5238385084988011,0.7614353
9,0.8230337078651685,0.8061480302427377,0.8061480302427377,0.8258844288946016,0.8230337078651685,0.6043742305845728,0.7611940298507462,0.7321969696969697,0.7321969696969697,0.7626306668902677,0.7611940298507462,0.461777614690856,0.6935022
10,0.8099250936329588,0.8190966971746916,0.8190966971746916,0.8319987255096458,0.8099250936329588,0.607609450634228,0.7761194029850746,0.7781565656565657,0.7781565656565657,0.7968448894766674,0.7761194029850746,0.5310947566785252,0.6999828
11,0.7874531835205992,0.7079307600477517,0.7079307600477518,0.7881045551660081,0.7874531835205992,0.49024519121507126,0.7649253731343284,0.6856060606060606,0.6856060606060606,0.7590918646205592,0.7649253731343284,0.43164686495389004,0.67263466
12,0.8239700374531835,0.8214882610425787,0.8214882610425785,0.8349936075894436,0.8239700374531835,0.6211397317784378,0.753731343283582,0.7411616161616161,0.7411616161616162,0.7660351678884104,0.753731343283582,0.4665107330525655,0.684095
13,0.8014981273408239,0.8274731396736967,0.8274731396736967,0.8420945907784408,0.8014981273408239,0.6165701607154228,0.75,0.7732323232323233,0.7732323232323232,0.7962807840509297,0.75,0.5139587241218548,0.6745631
