epoch,accuracy_score,balanced_accuracy,roc_score,precision,recall,mcc,loss
0,0.5174129353233831,0.6173347778981582,0.6173347778981582,0.7452859160985198,0.5174129353233831,0.2836402052640491,0.5993894
1,0.43283582089552236,0.5583423618634886,0.5583423618634886,0.7459514812096167,0.43283582089552236,0.19532285126854176,0.35078275
2,0.5024875621890548,0.6057963163596967,0.6057963163596967,0.7384441429217548,0.5024875621890548,0.2637595360910237,0.35891452
3,0.43283582089552236,0.5551462621885157,0.5551462621885157,0.7167477529479673,0.43283582089552236,0.176113497601742,0.33602175
4,0.43283582089552236,0.5583423618634886,0.5583423618634886,0.7459514812096167,0.43283582089552236,0.19532285126854176,0.31203195
5,0.4228855721393035,0.547453954496208,0.547453954496208,0.7080897878548966,0.4228855721393035,0.1588698400290089,0.35787
6,0.5174129353233831,0.6109425785482123,0.6109425785482123,0.7191141730265365,0.5174129353233831,0.2586225148758099,0.30272523
7,0.5870646766169154,0.5816901408450704,0.5816901408450705,0.6164034236476176,0.5870646766169154,0.15674486725034134,0.2603257
8,0.4626865671641791,0.5782231852654388,0.5782231852654388,0.7362899786780385,0.4626865671641791,0.2228233218437686,0.261841
9,0.5373134328358209,0.616738894907909,0.6167388949079091,0.6995041366345225,0.5373134328358209,0.2532664316424011,0.23189539
10,0.5174129353233831,0.6013542795232936,0.6013542795232936,0.6875778198160648,0.5174129353233831,0.22565923057270318,0.26355195
11,0.4975124378109453,0.595557963163597,0.595557963163597,0.7077575087525335,0.4975124378109453,0.23099784029814527,0.23459281
12,0.5522388059701493,0.6186890574214517,0.6186890574214519,0.6844923675888369,0.5522388059701493,0.24566216909655925,0.20651704
13,0.5621890547263682,0.5752437703141928,0.5752437703141928,0.6128849798625917,0.5621890547263682,0.144002863842784,0.19448906
14,0.5422885572139303,0.6109967497291441,0.6109967497291441,0.6785046399209627,0.5422885572139303,0.23187606751107584,0.2161836
15,0.5771144278606966,0.5867822318526543,0.5867822318526544,0.6227507737604313,0.5771144278606966,0.1659372842343145,0.21053372
